Product_ID,Product_Name,Category,Source_Platform,Search_Term,Estimated_Cost,Retail_Price_45_Markup,Profit_Margin,Notes
1001,MagSafe Magnetic Transparent Wireless Charge Case,Tech Accessories,Spocket / AliExpress,magsafe transparent case,$0.33,$0.60,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1002,Armor Bumper Shockproof Phone Case,Tech Accessories,Spocket / AliExpress,armor bumper case,$1.33,$2.42,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1003,Luxury Magnetic Matte Translucent Armor Case,Tech Accessories,Spocket / AliExpress,magnetic matte case,$0.33,$0.60,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1004,3-in-1 Wireless Charging Stand,Tech Accessories,Spocket / AliExpress,3 in 1 wireless charger,$3.50,$6.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1005,Portable Power Bank 20000mAh,Tech Accessories,Spocket / AliExpress,power bank 20000mah,$4.50,$8.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1006,USB-C Fast Charger 20W,Tech Accessories,Spocket / AliExpress,usb c charger 20w,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1007,Braided USB-C Cable (3-pack),Tech Accessories,Spocket / AliExpress,braided usb c cable,$1.20,$2.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1008,Car Phone Charger Dual USB,Tech Accessories,Spocket / AliExpress,car charger dual usb,$0.99,$1.80,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1009,T2 Wireless Bluetooth Earphones,Tech Accessories,Spocket / AliExpress,t2 wireless earphones,$0.33,$0.60,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1010,Portable Bluetooth Speaker,Tech Accessories,Spocket / AliExpress,portable bluetooth speaker,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1011,Silicone Earbud Tips (10 pairs),Tech Accessories,Spocket / AliExpress,silicone earbud tips,$0.50,$0.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1012,Rechargeable Bluetooth Wireless Mouse RGB,Tech Accessories,Spocket / AliExpress,rgb wireless mouse,$3.33,$6.05,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1013,Adjustable Laptop Stand,Tech Accessories,Spocket / AliExpress,adjustable laptop stand,$3.99,$7.25,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1014,4-Port USB Hub,Tech Accessories,Spocket / AliExpress,4 port usb hub,$1.99,$3.62,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1015,Webcam Privacy Slider (6-pack),Tech Accessories,Spocket / AliExpress,webcam privacy slider,$0.50,$0.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1016,LED Strip Lights RGB USB,Tech Accessories,Spocket / AliExpress,rgb led strip usb,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1017,Smart LED Light Bulb WiFi,Tech Accessories,Spocket / AliExpress,wifi smart bulb,$3.50,$6.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1018,Motion Sensor Night Light,Tech Accessories,Spocket / AliExpress,motion sensor night light,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1019,USB Mini Humidifier,Tech Accessories,Spocket / AliExpress,usb mini humidifier,$2.99,$5.44,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1020,Digital Infrared Thermometer,Tech Accessories,Spocket / AliExpress,infrared thermometer,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1021,Blackhead Remover Vacuum,Beauty & Personal Care,Spocket / AliExpress,blackhead remover vacuum,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1022,Jade Roller & Gua Sha Set,Beauty & Personal Care,Spocket / AliExpress,jade roller gua sha,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1023,LED Face Mask Therapy,Beauty & Personal Care,Spocket / AliExpress,led face mask therapy,$15.00,$27.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1024,Electric Makeup Brush Cleaner,Beauty & Personal Care,Spocket / AliExpress,electric makeup brush cleaner,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1025,Nail Drill Machine Electric,Beauty & Personal Care,Spocket / AliExpress,electric nail drill,$12.00,$21.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1026,Facial Steamer,Beauty & Personal Care,Spocket / AliExpress,facial steamer,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1027,Eyelash Growth Serum,Beauty & Personal Care,Spocket / AliExpress,eyelash growth serum,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1028,Makeup Mirror with LED Lights,Beauty & Personal Care,Spocket / AliExpress,led makeup mirror,$7.00,$12.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1029,Hair Dryer Brush,Beauty & Personal Care,Spocket / AliExpress,hair dryer brush,$10.00,$18.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1030,Water Flosser Cordless,Beauty & Personal Care,Spocket / AliExpress,cordless water flosser,$14.00,$25.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1031,Electric Salt and Pepper Grinder Set,Home & Kitchen,Spocket / AliExpress,electric salt pepper grinder,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1032,Reusable Silicone Food Storage Bags,Home & Kitchen,Spocket / AliExpress,silicone food storage bags,$3.00,$5.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1033,Automatic Soap Dispenser,Home & Kitchen,Spocket / AliExpress,automatic soap dispenser,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1034,Digital Kitchen Scale,Home & Kitchen,Spocket / AliExpress,digital kitchen scale,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1035,Vegetable Chopper Mandoline Slicer,Home & Kitchen,Spocket / AliExpress,vegetable chopper mandoline,$9.00,$16.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1036,Electric Milk Frother,Home & Kitchen,Spocket / AliExpress,electric milk frother,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1037,Smart Trash Can,Home & Kitchen,Spocket / AliExpress,smart trash can,$18.00,$32.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1038,Fabric Shaver and Lint Remover,Home & Kitchen,Spocket / AliExpress,fabric shaver lint remover,$3.50,$6.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1039,Mini Bag Sealer,Home & Kitchen,Spocket / AliExpress,mini bag sealer,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1040,Portable Blender,Home & Kitchen,Spocket / AliExpress,portable blender,$12.00,$21.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1041,Pet Grooming Glove,Pet Products,Spocket / AliExpress,pet grooming glove,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1042,Automatic Pet Feeder,Pet Products,Spocket / AliExpress,automatic pet feeder,$25.00,$45.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1043,Interactive Cat Toy Ball,Pet Products,Spocket / AliExpress,interactive cat toy ball,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1044,Dog Water Bottle Portable,Pet Products,Spocket / AliExpress,portable dog water bottle,$3.00,$5.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
